trajectory,trajectory_label,controller,n_steps,duration_s,mean_error_m,rmse_error_m,p95_error_m,max_error_m,final_error_m,mean_control_effort,total_control_effort,mean_normalized_effort
square,Square,NMPC,1000,99.9,0.014322800208492036,0.09838050145685825,0.012041006157619485,1.2806248474865698,0.0165741285078571,491.17104947999997,491171.04948,0.051163650367499994
square,Square,PPO,1000,99.9,0.043832334060429835,0.14489418844356355,0.25280898902714954,1.2806248474865698,0.0118370168003773,44.482964812000006,44482.964812000006,0.004633642177
figure_eight_depth,Figure Eight with Depth Variation,NMPC,1000,99.9,0.010276312075004096,0.04395296328776669,0.009605558878508847,0.6,0.0080669160774412,125.58536227050001,125585.36227050002,0.013081808497500002
figure_eight_depth,Figure Eight with Depth Variation,PPO,1000,99.9,0.050647931431544044,0.09248678210645116,0.15042146800512998,0.6,0.0168256219177767,38.45915157500001,38459.151575,0.0040061615956
circle,Circle,NMPC,1000,99.9,0.0169145317821543,0.09193684544486436,0.010499483732916346,1.16619037896906,0.0076655175659359,173.509960171,173509.96017099998,0.0180739539112
circle,Circle,PPO,1000,99.9,0.0474858725418396,0.14776579634735207,0.2625246741742539,1.16619037896906,0.0078101252568745,52.94730933049999,52947.30933049999,0.0055153446865
letter_b,Letter B,NMPC,1000,99.9,0.022347455434016623,0.10806001851842778,0.09632412047134212,1.3114877048604,0.0561792255838896,513.8570803955,513857.08039550006,0.0535267789193
letter_b,Letter B,PPO,1000,99.9,0.05918192693516063,0.16131615104362232,0.3452224694704661,1.3114877048604,0.3968188267068069,59.0339608835,59033.9608835,0.006149370945999999
star,Star,NMPC,1000,99.9,0.021157124302502297,0.11036952871192299,0.04739999067059008,1.3416407864998738,0.0181950460602474,1247.6872458125,1247687.2458125,0.12996742168330003
star,Star,PPO,1000,99.9,0.05444163503870287,0.17306822324204937,0.3422287255404889,1.3416407864998738,0.0136089918218762,53.0425010025,53042.5010025,0.00552526056885
