trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
circle,nmpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6,0.0,0.0,1.5708591586482943,-3.947841775708838e-06,0.06283185290642905,0.0,0.0,0.0,0.0,1.16619037896906,0.06283185303045416,-1.5708591586482943,0.9637837442939508,12.0,7.478539,12.0,12.0,-12.0,12.0,775.9285,0.080825895
circle,nmpc,0.1,0.014840653,0.0011358309,-0.0095750885,-1.0373847e-05,0.0005612495,0.001069092,0.14840652,0.011358309,-0.09575088,-0.000103738465,0.005612495,0.010690919,0.9999210442038161,0.01256603988335261,-0.6,0.0,0.0,1.583362697409366,-0.0015790951391481123,0.12565378393491425,0.0,0.0,0.0,0.0,1.1485275802498065,0.21148846827389048,-1.5822936054504408,0.8864394368605327,24.0,4.6011014,24.0,18.131067,-24.0,24.0,2653.9058,0.27644852
circle,nmpc,0.2,0.051612902,0.0056971917,-0.03598271,-0.00021687601,0.0014137632,0.008137533,0.3679192,0.045223188,-0.2638693,-0.0021046933,0.008524403,0.07068449,0.9996841892832999,0.025130095443337483,-0.6,0.0,0.0,1.5959290680234282,-0.003157940920817115,0.1256240198678621,0.0,0.0,0.0,0.0,1.1033278328852858,0.4623738131872454,-1.5877915345822422,0.7663683447320249,36.0,1.246583,36.0,13.70707,-36.0,36.0,5373.4375,0.5597331
circle,nmpc,0.30000000000000004,0.111334324,0.013612007,-0.08474269,-0.0010217358,0.0017258881,0.028353881,0.59852725,0.074391305,-0.486738,-0.008334409,0.0030774053,0.20216395,0.9992894726405892,0.03769018266993455,-0.6,0.0,0.0,1.6084954386382901,-0.004736288027107349,0.12557441831179475,0.0,0.0,0.0,0.0,1.0269051575956123,0.7768271929218303,-1.5801415575474107,-0.3770266313998771,39.999992,-1.0400655,39.999992,6.239749,-36.592213,39.238037,6118.6284,0.6373571
circle,nmpc,0.4,0.18716945,0.024265481,-0.15153268,-0.0031257188,0.0002708076,0.063349105,0.7622183,0.08567362,-0.6664981,-0.021643808,-0.014908356,0.34993663,0.9987369566060175,0.05024431817976956,-0.6,0.0,0.0,1.6210618092522602,-0.006313887218500902,0.12550498709936603,0.0,0.0,0.0,0.0,0.9275988675248156,1.0180609044313271,-1.5577127038345318,-0.5224988452032384,39.999992,-4.337554,39.999992,-2.7608101,-27.25382,28.604504,4787.4233,0.49868998
circle,nmpc,0.5,0.2697617,0.036921114,-0.22322509,-0.006186329,-0.003773077,0.11067299,0.8324718,0.076255836,-0.7164639,-0.030734254,-0.041917857,0.47311014,0.9980267284282716,0.06279051952931337,-0.6,0.0,0.0,1.6336281798664773,-0.007890489373940657,0.125415737194573,0.0,0.0,0.0,0.0,0.8203648556369066,1.1054166665342493,-1.5229551918689455,-0.6603224882957919,39.999992,-9.219961,39.999992,-11.446675,-18.042732,16.714087,4020.9336,0.4188473
circle,nmpc,0.6000000000000001,0.35221505,0.05092787,-0.2905307,-0.0096674645,-0.010284555,0.1671666,0.8324136,0.0523255,-0.6758909,-0.032679815,-0.068608366,0.56451845,0.9971589002606139,0.07532680552793274,-0.6,0.0,0.0,1.6461945504810775,-0.0094658455296881,0.12530668269102735,0.0,0.0,0.0,0.0,0.7157647074942747,1.0820886361517594,-1.4790279448893036,-0.788163838513333,39.99999,-14.666752,39.99999,-18.920143,-11.308816,7.121055,3951.6824,0.41163358
circle,nmpc,0.7000000000000001,0.43039817,0.06560971,-0.34952322,-0.013100066,-0.018467313,0.23006031,0.7892526,0.020464588,-0.5979039,-0.027857788,-0.08790357,0.62808335,0.9961336091431725,0.08785119655074318,-0.6,0.0,0.0,1.6587609210951333,-0.011039706918625214,0.12517784080966904,0.0,0.0,0.0,0.0,0.6191041061877662,1.0044509400299262,-1.4287006119234567,-0.9058011764145648,39.99999,-19.784666,39.99999,-25.433437,-6.938822,0.27282268,4286.5127,0.44651172
circle,nmpc,0.8,0.5022218,0.080121726,-0.39940178,-0.016166873,-0.027313333,0.2975232,0.72307014,-0.015775396,-0.512476,-0.018210191,-0.097288534,0.6732972,0.9949510169813002,0.10036171485121491,-0.6,0.0,0.0,1.6713272917098345,-0.012611825009944955,0.1250292318961399,0.0,0.0,0.0,0.0,0.5323827197619042,0.9075712544267758,-1.3738040911979021,-1.0135052984593829,39.99999,-24.996544,39.99999,-30.287584,-4.2310905,-4.2694387,4778.294,0.49773887
circle,nmpc,0.9,0.5667671,0.09400331,-0.44072714,-0.018703459,-0.035940032,0.36841673,0.6462577,-0.0495233,-0.43192068,-0.0060048853,-0.09771222,0.70718354,0.9936113105200084,0.1128563848734817,-0.6,0.0,0.0,1.6838936623241176,-0.01418195154784252,0.12486087941751545,0.0,0.0,0.0,0.0,0.4559816486188451,0.8081743905346134,-1.3154769357349148,-1.1118571755373572,39.999985,-29.748383,39.999985,-33.62328,-2.5802429,-7.1072183,5272.659,0.5492354
circle,nmpc,1.0,0.62385124,0.1071484,-0.474534,-0.020637387,-0.04372028,0.4418713,0.567356,-0.076229095,-0.36017516,0.007054629,-0.0915177,0.7324879,0.9921147013144779,0.12533323356430426,-0.6,0.0,0.0,1.6964600329385442,-0.015749838591205823,0.12467280995859253,0.0,0.0,0.0,0.0,0.38947449366197134,0.7142129452313714,-1.2545887475000066,-1.201707377288139,39.999985,-33.454094,39.999985,-35.770985,-1.5797838,-8.741395,5677.645,0.5914213
circle,nmpc,1.1,0.67381567,0.11964371,-0.50193906,-0.021944955,-0.050287124,0.5171095,0.49262875,-0.09458531,-0.2978796,0.019808192,-0.08116573,0.7501478,0.9904614256966512,0.1377902906846381,-0.6,0.0,0.0,1.709026403552512,-0.01731523855241779,0.12446505321771217,0.0,0.0,0.0,0.0,0.3319785878017946,0.629887446259686,-1.1919168902697361,-1.2839340277447575,39.99998,-36.125313,39.99998,-37.28332,-0.97954273,-9.535619,5986.9688,0.6236425
circle,nmpc,1.2000000000000002,0.71721905,0.13158499,-0.5239919,-0.022682574,-0.05548874,0.59357387,0.42468184,-0.10543231,-0.24455355,0.031059328,-0.06876113,0.7623516,0.988651744737914,0.1502255891207571,-0.6,0.0,0.0,1.721592774167146,-0.018877904236824783,0.12423764200210352,0.0,0.0,0.0,0.0,0.2824896655590987,0.5561474396296004,-1.1280189058924572,-1.3593125737491005,39.99998,-38.260235,39.99998,-38.182903,-0.6102846,-9.756256,6217.334,0.6476389
circle,nmpc,1.3,0.7545971,0.14312819,-0.5416237,-0.022957744,-0.059317872,0.670893,0.36405402,-0.108885884,-0.19933282,0.040129703,-0.055790965,0.7709344,0.986685944207868,0.1626371651948836,-0.6,0.0,0.0,1.7341591447818119,-0.02043758888131686,0.12399061222261032,0.0,0.0,0.0,0.0,0.2401116618782429,0.49173045020356676,-1.0632661313044864,-1.428867136325878,39.999977,-39.434067,39.999977,-38.588165,-0.38162357,-9.599845,6336.391,0.6600407
circle,nmpc,1.4000000000000001,0.7866558,0.15446968,-0.5556237,-0.022875953,-0.061847277,0.7486607,0.3127477,-0.10679477,-0.16131431,0.046921007,-0.043108135,0.775524,0.9845643345292053,0.17502305897527606,-0.6,0.0,0.0,1.7467255153958285,-0.021994046193518635,0.12372400288808427,0.0,0.0,0.0,0.0,0.20386145011418766,0.4372793586378634,-0.9980648317639316,-1.4935720898085263,39.999973,-39.87259,39.999973,-38.744442,-0.23700428,-9.20526,6375.744,0.66414
circle,nmpc,1.5,0.81414235,0.16580106,-0.5666523,-0.022545319,-0.06320031,0.8265978,0.2711459,-0.10113687,-0.12963544,0.051477626,-0.031320013,0.77736837,0.9822872507286887,0.18738131458572463,-0.6,0.0,0.0,1.7592918860102833,-0.02354703039092465,0.12343785609927882,0.0,0.0,0.0,0.0,0.17277292999450058,0.392534181835122,-0.9326940762187184,-1.554271981043476,39.99997,-39.904762,39.99997,-38.743874,-0.13737208,-8.674094,6368.732,0.66340953
circle,nmpc,1.6,0.8377304,0.17731409,-0.5752605,-0.022067206,-0.063526385,0.9045439,0.23854983,-0.09322481,-0.10347843,0.05401047,-0.02079652,0.7776328,0.9798550523842469,0.19970998051440705,-0.6,0.0,0.0,1.771858256624683,-0.025096296239257576,0.12313221704204902,0.0,0.0,0.0,0.0,0.14598983699825258,0.3564090732097701,-0.8673143799767338,-1.6117316986555459,39.999966,-39.666264,39.99996,-38.540047,-0.058506746,-8.077152,6323.986,0.65874857
circle,nmpc,1.7000000000000002,0.858004,0.18924925,-0.5819046,-0.021520656,-0.06298134,0.98237,0.21446723,-0.08382405,-0.08208727,0.054872416,-0.011688907,0.77662313,0.9772681235681935,0.21200710992205465,-0.6,0.0,0.0,1.7844246272387208,-0.02664159909143704,0.12280713398032939,0.0,0.0,0.0,0.0,0.1227570835042867,0.32797596541186147,-0.8020546082796753,-1.6665737332327255,39.999954,-39.230316,39.999954,-38.577335,0.0031234236,-7.473475,6283.0747,0.6544869
