trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
letter_b,nmpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.6,0.0,0.0,1.5707963267948966,0.0,0.043846153846172076,0.0,0.0,0.0,0.0,1.3114877048604001,0.043846153846172076,-1.5707963267948966,0.9685197720897959,-12.0,-12.0,12.0,-12.0,-12.0,12.0,864.0,0.09
letter_b,nmpc,0.1,-0.008254966,-0.0060455967,-0.0095750885,-0.0006730257,-0.00022817489,0.0060055647,-0.082549654,-0.060455967,-0.09575088,-0.0067302566,-0.002281749,0.060055647,-0.6,-0.9912307692307691,-0.6,0.0,0.0,1.5707963267942635,5.551115123125783e-14,0.08769230769234415,5.551115123125783e-14,0.0,0.0,0.0,1.2920346689909203,0.1947577680661316,-1.5647907620897261,0.8932713221271908,-24.0,-24.0,24.0,-24.0,-24.0,24.0,3456.0,0.36
letter_b,nmpc,0.2,-0.031783048,-0.02409245,-0.03596845,-0.0025737833,-0.00058480917,0.023492273,-0.2364206,-0.17887466,-0.2640001,-0.018967675,-0.003684032,0.17486463,-0.6,-0.9824615384615384,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769223313,0.0,0.0,0.0,0.0,1.2487887745063646,0.4434508921460171,-1.5473040538516383,0.7652286294643185,-36.0,-36.0,36.0,-36.0,-36.0,36.0,7776.0,0.80999994
letter_b,nmpc,0.30000000000000004,-0.075744465,-0.05997199,-0.08465835,-0.006167284,-0.0006043695,0.056318086,-0.44820565,-0.34711614,-0.48753202,-0.035743043,-0.001040467,0.3282565,-0.6,-0.9736923076923076,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.1727342868188069,0.7922336543460418,-1.5144782411542277,-0.39395195847129877,-39.999924,-39.99995,39.999992,-39.999992,-39.99992,31.13313,8969.254,0.93429726
letter_b,nmpc,0.4,-0.13726561,-0.114780515,-0.14965405,-0.009560624,0.0007282402,0.10119602,-0.64547956,-0.5085713,-0.6527159,-0.033662166,0.010558112,0.44885293,-0.6,-0.9649230769230769,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.0675565423972366,1.0946288220378266,-1.469600305953298,-0.5611929181251687,-33.46125,-39.99996,39.99999,-39.999992,-39.836086,19.13313,7872.641,0.82006675
letter_b,nmpc,0.5,-0.2076232,-0.18438192,-0.22094905,-0.01065813,0.0044821994,0.15358719,-0.7697708,-0.61452574,-0.7194188,-0.011356594,0.03252903,0.5242465,-0.6,-0.9561538461538461,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.9451301944932571,1.2661835214972017,-1.4172091344979147,-0.7205249511037921,-21.46125,-39.999966,39.999985,-39.99999,-30.988007,7.133129,6271.7183,0.65330404
letter_b,nmpc,0.6000000000000001,-0.27818552,-0.26250675,-0.28867266,-0.009593462,0.011011439,0.21170093,-0.813792,-0.6568084,-0.6879298,0.008041919,0.059095036,0.58179444,-0.6,-0.9473846153846153,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.8182584940373885,1.299917725922234,-1.3590953956034522,-0.8679526278379993,-9.461249,-39.99997,39.999977,-39.99999,-21.115723,-1.131387,5336.664,0.55590254
letter_b,nmpc,0.7000000000000001,-0.34331912,-0.3436902,-0.34793624,-0.0070217494,0.019832393,0.27443314,-0.80080545,-0.65104854,-0.6077638,0.01880954,0.08218774,0.6281015,-0.6,-0.9386153846153846,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.6952389545509605,1.2475593287610012,-1.2963631908085684,-1.0025467988644614,2.5387502,-39.999973,39.999966,-39.999985,-12.732742,-5.0242596,4993.805,0.52018803
letter_b,nmpc,0.8,-0.3998319,-0.42353377,-0.39773253,-0.0037507582,0.030005554,0.3412222,-0.75033236,-0.6117903,-0.51725215,0.019464916,0.09704031,0.6684569,-0.6,-0.9298461538461538,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,0.5808025787265337,1.1488360827969182,-1.2295741299774985,-1.1235791831832285,14.538751,-39.999973,39.999943,-39.99998,-6.210317,-6.2883034,5089.478,0.53015393
letter_b,nmpc,0.9,-0.44619825,-0.49850994,-0.43870598,-0.00035688805,0.040516738,0.4117766,-0.67522925,-0.5497581,-0.43225068,0.012771632,0.10246596,0.70561594,-0.6,-0.9210769230769231,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.47773799272966755,1.024264703845706,-1.1590197245266776,-1.2331273280006996,26.53875,-39.999973,39.999878,-39.999973,-1.4774731,-6.2394466,5545.4053,0.57764626
