trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
star,nmpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.347880794884119e-17,1.2,-0.6,0.0,0.0,-1.877242446824037,-0.013225168176580647,-0.04179711762652971,0.0,0.0,0.0,0.0,1.3416407864998738,0.04383952685858736,1.877242446824037,0.9686276069994366,12.0,-12.0,-12.0,12.0,-12.0,12.0,864.0,0.09
star,nmpc,0.1,-3.9460563e-05,0.01210769,-0.0095750885,0.0006147626,6.569917e-05,-0.00031903753,-0.00039460565,0.1210769,-0.09575088,0.006147626,0.0006569917,-0.0031903752,-0.0026450336353160556,1.1916405764746871,-0.6,0.0,0.0,-1.8772424468244222,-0.026450336353161595,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.3190550389255196,0.22745857871359912,1.8769234092961793,0.8995754748856799,14.73397,-11.9810915,-24.0,24.0,-24.0,24.0,2664.6365,0.27756628
star,nmpc,0.2,0.0008329916,0.042433765,-0.035957262,0.0025768974,0.0003058251,-0.0063042613,0.008645102,0.30310127,-0.26400757,0.01962528,0.0023644639,-0.059853703,-0.005290067270632185,1.1832811529493745,-0.6,0.0,0.0,-1.8772424468240332,-0.026450336353160946,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.2726800325734724,0.4695371133676587,1.8709381855493974,0.7877923695182172,8.547935,-8.922447,-36.0,36.0,-36.0,36.0,5336.6772,0.55590385
star,nmpc,0.30000000000000004,0.0015858319,0.0927715,-0.084601305,0.0068623596,0.0007572952,-0.025656616,0.004503617,0.50215966,-0.4877347,0.042913802,0.004015996,-0.19353452,-0.007935100905948317,1.1749217294240617,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.1986557390749835,0.7628570704627159,1.8515858305087924,-0.34840807676167673,0.45105854,-6.2812877,-39.999996,39.999996,-31.429073,39.999905,5827.4365,0.6070246
star,nmpc,0.4,0.0007464925,0.15919651,-0.14964092,0.012242561,0.0014544257,-0.060208574,-0.024938622,0.6593372,-0.65495515,0.05406368,0.0046000816,-0.34555918,-0.010580134541264443,1.1665623058987489,-0.6,0.0,0.0,-1.87724244682442,-0.02645033635316138,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.1035114137745152,0.990411875491892,1.817033872887004,-0.49053705473772696,-9.309611,-2.7629495,-39.999992,39.999992,-19.429073,39.991905,5271.143,0.5490774
star,nmpc,0.5,-0.0031831064,0.23510809,-0.22119339,0.016648185,0.002466434,-0.10753564,-0.083861694,0.7465581,-0.72484136,0.044744562,0.0043254285,-0.47335857,-0.013225168176580574,1.1582028823734363,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,0.9978473247174543,1.1035596970302084,1.7697068089089036,-0.6277491098686248,-20.161333,2.3648717,-39.999992,39.999992,-7.429073,33.291336,4775.575,0.49745572
star,nmpc,0.6000000000000001,-0.01136249,0.31461796,-0.29017973,0.01940371,0.0038533013,-0.1647619,-0.16495611,0.77012753,-0.7031905,0.028966691,0.0043400875,-0.5724125,-0.015870201811896707,1.1498434588481234,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,0.8908482197759702,1.1146755566144755,1.7124805459222436,-0.755505074789018,-30.256617,8.153735,-39.999992,39.999992,4.570927,24.595968,4807.8,0.50081253
star,nmpc,0.7000000000000001,-0.02417468,0.39374122,-0.35061243,0.019792052,0.005705947,-0.22919765,-0.25383216,0.7476154,-0.6199318,0.0063663344,0.0060209213,-0.6445909,-0.01851523544721283,1.1414840353228106,-0.6,0.0,0.0,-1.8772424468240567,-0.026450336353163115,-0.08359423525305942,0.0,0.0,0.0,0.0,0.7882547215251572,1.0615683703283811,1.6480447956762143,-0.8753194920942694,-38.88131,14.034179,-39.99999,39.99999,10.057331,16.885796,5294.992,0.5515617
star,nmpc,0.8,-0.041125055,0.4701455,-0.40136278,0.017984638,0.008140348,-0.29889637,-0.33575746,0.6953316,-0.5232913,-0.014097185,0.010545558,-0.69732106,-0.021160269082528962,1.1331246117974982,-0.6000000000000001,0.0,0.0,-1.8772424468236748,-0.026450336353163115,-0.08359423525317045,0.0,0.0,0.0,0.0,0.6923847558427165,0.988043566259239,1.578346074505407,-0.9873969263151336,-39.999935,20.94636,-39.99999,39.999985,11.762711,10.381554,5484.8813,0.5713417
star,nmpc,0.9,-0.058403254,0.5429126,-0.4430361,0.014452892,0.011311133,-0.3714589,-0.37599048,0.6368754,-0.43133092,-0.029410686,0.018653756,-0.72605413,-0.023805302717845093,1.1247651882721854,-0.6000000000000001,0.0,0.0,-1.8772424468236937,-0.02645033635316485,-0.08359423525317045,0.0,0.0,0.0,0.0,0.6036448565770087,0.9095609690543064,1.5057835587697996,-1.0911055092850117,-39.99996,27.909737,-39.99999,39.99998,11.369899,5.135,5734.5903,0.5973532
star,nmpc,1.0,-0.072758436,0.61085117,-0.47677642,0.009970308,0.015161078,-0.4460787,-0.37652096,0.5759462,-0.35004425,-0.036385678,0.02771178,-0.7466285,-0.02645033635316122,1.1164057647468728,-0.6000000000000001,0.0,0.0,-1.8772424468240003,-0.02645033635315791,-0.08359423525305942,0.0,0.0,0.0,0.0,0.5224116577645982,0.8246660058625697,1.431163758917735,-1.1858112525982283,-39.999973,35.006725,-39.999985,39.99997,9.954344,1.126922,6125.824,0.6381067
star,nmpc,1.1,-0.08215247,0.67242205,-0.5038389,0.005243695,0.01942858,-0.5226375,-0.34624073,0.5121538,-0.28102568,-0.035659436,0.035040732,-0.76588756,-0.02909536998847735,1.10804634122156,-0.6000000000000001,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.4492555348536701,0.7322274602698212,1.3546049603657935,-1.2720569067935787,-39.999977,39.99705,-39.99998,39.999943,8.154315,-1.7782569,6469.411,0.673897
star,nmpc,1.2000000000000002,-0.08598933,0.7267752,-0.5254132,0.00075652666,0.023719134,-0.60059154,-0.30031097,0.45065245,-0.22398561,-0.029727276,0.03881808,-0.7796074,-0.03174040362379349,1.0996869176962472,-0.6000000000000001,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.38414744886468405,0.6407719734156352,1.2766509064870093,-1.3555873089517196,-39.999977,39.999935,-39.999973,39.99981,6.360806,-3.72637,6454.322,0.67232513
star,nmpc,1.3,-0.08498181,0.77489495,-0.542541,-0.0031678122,0.027632948,-0.6786895,-0.2594909,0.40254793,-0.17778668,-0.020720972,0.038547467,-0.7807891,-0.03438543725910961,1.0913274941709346,-0.6,0.0,0.0,-1.877242446823656,-0.02645033635316138,-0.08359423525317045,0.0,0.0,0.0,0.0,0.32556271195154385,0.5676708652245809,1.198552966995775,-1.4336184556790628,-39.999977,39.99996,-39.999958,37.71831,4.787411,-4.9573956,6270.1577,0.65314144
star,nmpc,1.4000000000000001,-0.08074113,0.8174718,-0.556084,-0.0063145645,0.030948762,-0.75627,-0.23044582,0.35848626,-0.14071585,-0.010032461,0.03561464,-0.7754004,-0.03703047089442574,1.0829680706456217,-0.6,0.0,0.0,-1.877242446823656,-0.02645033635316138,-0.08359423525317045,0.0,0.0,0.0,0.0,0.27263071598789307,0.5068039817681266,1.1209724554257983,-1.5058161834583363,-39.999977,39.999966,-39.99992,33.919136,3.5346243,-5.664866,5995.0815,0.6244876
star,nmpc,1.5,-0.07524904,0.85518724,-0.5667189,-0.008632495,0.03360601,-0.8329001,-0.21546288,0.31273726,-0.111097865,0.00053298497,0.031408466,-0.7657512,-0.03967550452974186,1.074608647120309,-0.6,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.22476401985941896,0.45293170322138887,1.0443423399167273,-1.5729643601017476,-39.999973,39.999966,-39.999794,31.526358,2.6196063,-5.99675,5836.713,0.607991
star,nmpc,1.6,-0.06956992,0.8886105,-0.57499254,-0.010164295,0.035684872,-0.9088845,-0.20619059,0.26763275,-0.087408125,0.010212515,0.027343404,-0.7592071,-0.04232053816505799,1.0662492235949963,-0.6,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.18144813196203707,0.4041127748512011,0.9683579215245459,-1.6353682455760044,-39.99997,39.999966,-39.578415,30.816425,1.9966278,-6.0663476,5756.885,0.5996755
