trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
circle,pid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6,0.0,0.0,1.5708591586482943,-3.947841775708838e-06,0.06283185290642905,0.0,0.0,0.0,0.0,1.16619037896906,0.06283185303045416,-1.5708591586482943,0.9906429956968439,5.5246253,-2.6316302,5.442432,-2.5494368,-2.2491238,2.3253891,84.03264,0.0087534
circle,pid,0.1,0.0019344828,4.8191538e-05,-0.0030542803,-0.00026049648,5.833495e-05,0.0039324393,0.019344829,0.00048191537,-0.030542802,-0.002604965,0.0005833495,0.039324395,0.9999210442038161,0.01256603988335261,-0.6,0.0,0.0,1.583362697409366,-0.0015790951391481123,0.12565378393491425,0.0,0.0,0.0,0.0,1.162960904533591,0.13053225670537905,-1.5794302581529065,0.9764660176591399,5.573147,-2.7176225,5.3745584,-2.5190344,-2.1499953,2.3172872,83.66915,0.0087155355
circle,pid,0.2,0.0055225496,0.00020638408,-0.008919707,-0.00071815454,0.00010396668,0.011504554,0.035890035,0.0014560936,-0.058651794,-0.0045809974,0.0004365922,0.075721264,0.9996841892832999,0.025130095443337483,-0.6,0.0,0.0,1.5959290680234282,-0.003157940920817115,0.1256240198678621,0.0,0.0,0.0,0.0,1.1568727114309307,0.14276712249908263,-1.5844245138336865,0.9580671039212492,5.5653234,-2.745784,5.3477,-2.5281608,-2.0891325,2.2572105,82.96111,0.008641783
circle,pid,0.30000000000000004,0.01055508,0.0005041957,-0.017324148,-0.001297107,0.00010137,0.022281107,0.050364975,0.0024593142,-0.08403743,-0.005800728,-0.000103359074,0.107765466,0.9992894726405892,0.03769018266993455,-0.6,0.0,0.0,1.6084954386382901,-0.004736288027107349,0.12557441831179475,0.0,0.0,0.0,0.0,1.1482550436835877,0.15892063358087385,-1.5862143320768678,0.9360414243211774,5.536415,-2.752186,5.312293,-2.5280638,-2.0277498,2.1868799,81.73219,0.00851377
circle,pid,0.4,0.016888445,0.0009816203,-0.027980547,-0.0019324749,3.9949322e-05,0.035739563,0.0634351,0.0035002474,-0.10655312,-0.0063673225,-0.0007887768,0.13458365,0.9987369566060175,0.05024431817976956,-0.6,0.0,0.0,1.6210618092522602,-0.006313887218500902,0.12550498709936603,0.0,0.0,0.0,0.0,1.1373915626662507,0.1763622568168094,-1.5853222458467464,0.9108629586866747,5.4967337,-2.7481458,5.2763343,-2.5277467,-1.9658303,2.108911,80.30759,0.008365375
circle,pid,0.5,0.024437962,0.0016912459,-0.04059974,-0.0025753467,-7.406299e-05,0.051345427,0.07570556,0.004637984,-0.12618017,-0.0064349533,-0.0014417002,0.15605614,0.9980267284282716,0.06279051952931337,-0.6,0.0,0.0,1.6336281798664773,-0.007890489373940657,0.125415737194573,0.0,0.0,0.0,0.0,1.124516276839349,0.19364142270844623,-1.5822827532772268,0.8830426641559234,5.450251,-2.7387645,5.2415586,-2.530072,-1.9034488,2.02544,78.80679,0.008209041
circle,pid,0.6000000000000001,0.03312822,0.0026886992,-0.05490092,-0.0031909763,-0.00023305777,0.06860614,0.087289385,0.005869599,-0.14300361,-0.006143512,-0.0020344653,0.17260246,0.9971589002606139,0.07532680552793274,-0.6,0.0,0.0,1.6461945504810775,-0.0094658455296881,0.12530668269102735,0.0,0.0,0.0,0.0,1.1098488432542393,0.2099448140323666,-1.5775884122517074,0.8530859278495373,5.3989224,-2.7262034,5.2078276,-2.5351086,-1.8406268,1.938269,77.27359,0.008049333
circle,pid,0.7000000000000001,0.042886563,0.0040294714,-0.07061952,-0.003757508,-0.00043002263,0.08710073,0.09823635,0.0071882256,-0.15718684,-0.0056222132,-0.0025597957,0.18493871,0.9961336091431725,0.08785119655074318,-0.6,0.0,0.0,1.6587609210951333,-0.011039706918625214,0.12517784080966904,0.0,0.0,0.0,0.0,1.0935948528280441,0.22487887362037323,-1.571660191748858,0.8213857571132195,5.34422,-2.7120123,5.174849,-2.542641,-1.7774264,1.8487905,75.73706,0.007889277
circle,pid,0.8,0.053642243,0.005767706,-0.08751249,-0.00426399,-0.00065862975,0.1064893,0.10858851,0.008594889,-0.16894527,-0.0049814465,-0.00301458,0.19387572,0.9949510169813002,0.10036171485121491,-0.6,0.0,0.0,1.6713272917098345,-0.012611825009944955,0.1250292318961399,0.0,0.0,0.0,0.0,1.0759431578530012,0.23830438665476766,-1.5648379909819903,0.788265605417483,5.2871737,-2.697262,5.1422596,-2.5523477,-1.7139574,1.7580259,74.21505,0.007730735
circle,pid,0.9,0.065326296,0.007955823,-0.105361104,-0.0047079595,-0.0009130745,0.12650877,0.11838682,0.010099768,-0.1785227,-0.0043078396,-0.0033980499,0.20018199,0.9936113105200084,0.1128563848734817,-0.6,0.0,0.0,1.6838936623241176,-0.01418195154784252,0.12486087941751545,0.0,0.0,0.0,0.0,1.057064252471451,0.25022979140908436,-1.5573848899509182,0.7539866470475245,5.2284756,-2.682666,5.1097074,-2.5638978,-1.6503623,1.6666927,72.71789,0.0075747794
circle,pid,1.0,0.07787221,0.010644334,-0.12397195,-0.0050929366,-0.0011877706,0.14696173,0.12767868,0.011717495,-0.186172,-0.0036630202,-0.003709844,0.20451438,0.9921147013144779,0.12533323356430426,-0.6,0.0,0.0,1.6964600329385442,-0.015749838591205823,0.12467280995859253,0.0,0.0,0.0,0.0,1.0371092447648127,0.2607501748602885,-1.5494982992396993,0.7187633315924435,5.1657686,-2.6715019,5.07408,-2.579813,-1.5867914,1.5752823,71.22323,0.0074190875
circle,pid,1.1,0.091210954,0.013880583,-0.1431764,-0.005426083,-0.0014776844,0.16770333,0.1364603,0.013460012,-0.19214076,-0.003085102,-0.0039554513,0.20739825,0.9904614256966512,0.1377902906846381,-0.6,0.0,0.0,1.709026403552512,-0.01731523855241779,0.12446505321771217,0.0,0.0,0.0,0.0,1.0162149487456456,0.2699761241450947,-1.5413230730356968,0.6827680324882373,5.1011834,-2.6622288,5.0369806,-2.598026,-1.5233889,1.4841272,69.7538,0.0072660204
circle,pid,1.2000000000000002,0.10527323,0.017708253,-0.16282922,-0.0057163076,-0.0017782047,0.18862884,0.1447485,0.015334493,-0.1966619,-0.0025930312,-0.004140588,0.2092355,0.988651744737914,0.1502255891207571,-0.6,0.0,0.0,1.721592774167146,-0.018877904236824783,0.12423764200210352,0.0,0.0,0.0,0.0,0.9945032589073013,0.2780456776030979,-1.532963936700906,-0.3538632354108061,5.0360312,-2.6539178,4.9993553,-2.6172419,-1.4602747,1.3934559,68.32252,0.0071169287
circle,pid,1.3,0.11999288,0.022168074,-0.18280645,-0.0059731044,-0.0020846094,0.20966344,0.15259278,0.017349254,-0.19994798,-0.0021939294,-0.0042663906,0.21032466,0.986685944207868,0.1626371651948836,-0.6,0.0,0.0,1.7341591447818119,-0.02043758888131686,0.12399061222261032,0.0,0.0,0.0,0.0,0.9720796727807731,0.28511591162500155,-1.524495708965047,-0.39102198811192573,4.97044,-2.6466856,4.961083,-2.6373286,-1.3975519,1.30342,66.93012,0.006971888
circle,pid,1.4000000000000001,0.13530675,0.027298154,-0.20300317,-0.006205744,-0.0023921628,0.23075399,0.16004097,0.01951254,-0.20218843,-0.0018867434,-0.0043352293,0.21088299,0.9845643345292053,0.17502305897527606,-0.6,0.0,0.0,1.7467255153958285,-0.021994046193518635,0.12372400288808427,0.0,0.0,0.0,0.0,0.9490350805220753,0.29133647210291075,-1.515971527368256,-0.4286187589506953,4.904488,-2.6406043,4.9220815,-2.6581976,-1.3353072,1.2141187,65.57682,0.006830919
circle,pid,1.5,0.15115193,0.033133395,-0.22333121,-0.0064226673,-0.0026968163,0.251863,0.16711105,0.021829545,-0.2035491,-0.0016642713,-0.0043564364,0.21106647,0.9822872507286887,0.18738131458572463,-0.6,0.0,0.0,1.7592918860102833,-0.02354703039092465,0.12343785609927882,0.0,0.0,0.0,0.0,0.9254500121166741,0.29682821775394824,-1.5074288832331837,-0.46657917891462986,4.838249,-2.6356838,4.88233,-2.6797643,-1.2719492,1.123954,64.25489,0.006693218
circle,pid,1.6,0.1674664,0.039705977,-0.24371566,-0.006631266,-0.0029949632,0.27296403,0.17382663,0.024306841,-0.20416214,-0.0015169278,-0.0043366426,0.21098614,0.9798550523842469,0.19970998051440705,-0.6,0.0,0.0,1.771858256624683,-0.025096296239257576,0.12313221704204902,0.0,0.0,0.0,0.0,0.9013962126457298,0.30169349528927447,-1.4988942261204563,-0.5048412863042224,4.7717676,-2.6319208,4.841822,-2.7019753,-1.2067891,1.0322173,62.962498,0.0065585934
circle,pid,1.7000000000000002,0.18418978,0.047045194,-0.26409256,-0.006837568,-0.0032832597,0.29403856,0.18021652,0.02694514,-0.20413552,-0.0014318454,-0.00428039,0.21072046,0.9772681235681935,0.21200710992205465,-0.6,0.0,0.0,1.7844246272387208,-0.02664159909143704,0.12280713398032939,0.0,0.0,0.0,0.0,0.87693756652613,0.30602469696066864,-1.4903860632719697,-0.543353362815141,4.7050695,-2.6293085,4.800557,-2.7247958,-1.142567,0.9416462,61.712955,0.006428434
circle,pid,1.8,0.20126142,0.055176757,-0.28440905,-0.0070461435,-0.0035590536,0.31507352,0.18628821,0.029741352,-0.203579,-0.0013951272,-0.0041961386,0.2103248,0.9745268727865771,0.2242707609493812,-0.6,0.0,0.0,1.7969909978534746,-0.028182694926381924,0.1224626582485705,0.0,0.0,0.0,0.0,0.8521325593796839,0.30990226737462695,-1.48191747790833,-0.5820736520771507,4.6381936,-2.6278102,4.758566,-2.7481825,-1.0793058,0.8522687,60.505947,0.0063027027
circle,pid,1.9000000000000001,0.21862236,0.06412335,-0.30462158,-0.007260179,-0.003819861,0.3360598,0.19206701,0.03269088,-0.20258488,-0.0013934458,-0.0040867105,0.20983812,0.971631732914674,0.2364989970237247,-0.6,0.0,0.0,1.8095573684678272,-0.029719340387035498,0.12209884424341233,0.0,0.0,0.0,0.0,0.8270337949195222,0.31340645028891123,-1.4734975597367481,-0.6209664629847175,4.5711546,-2.6274068,4.7158623,-2.7721145,-1.0170137,0.764112,59.34088,0.006181342
circle,pid,2.0,0.23621489,0.07390406,-0.32469445,-0.007481442,-0.004063547,0.35699108,0.19756986,0.035782933,-0.20123038,-0.0014130806,-0.0039564203,0.2092879,0.9685831611286311,0.2486898871648548,-0.6,0.0,0.0,1.8221237390822094,-0.03125129281933425,0.12171574941535757,0.0,0.0,0.0,0.0,0.801689785208277,0.31660264434179336,-1.4651326566523235,-0.6600017005537547,4.503978,-2.6280715,4.67247,-2.796564,-0.9556819,0.67720896,58.21726,0.006064298
circle,pid,2.1,0.25398222,0.08453555,-0.34459847,-0.007710853,-0.0042882888,0.3778629,0.20281331,0.03901714,-0.19957982,-0.0014459832,-0.0038088392,0.20869371,0.9653816388332739,0.26084150628989694,-0.6,0.0,0.0,1.834690109696733,-0.03277831031023304,0.1213134342594735,0.0,0.0,0.0,0.0,0.7761461656822547,0.319543732795593,-1.4568272092012038,-0.6991537263260837,4.4366713,-2.629772,4.6284184,-2.8215187,-0.8953148,0.5915715,57.134525,0.0059515126
circle,pid,2.2,0.27186853,0.096031904,-0.36430997,-0.007948539,-0.0044925697,0.39867222,0.20781225,0.04239018,-0.1976867,-0.0014844958,-0.0036472953,0.2080694,0.9620276715860858,0.2729519355173253,-0.6,0.0,0.0,1.8472564803108347,-0.03430015172589673,0.12089196230599675,0.0,0.0,0.0,0.0,0.7504466232049691,0.32227469192834557,-1.4485842572197092,-0.7383990086777147,4.3692446,-2.632475,4.583736,-2.8469665,-0.83590835,0.50721234,56.09208,0.005842926
