trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
letter_b,pid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.6,0.0,0.0,1.5707963267948966,0.0,0.043846153846172076,0.0,0.0,0.0,0.0,1.3114877048604001,0.043846153846172076,-1.5707963267948966,0.9900433322060963,1.1263229,-2.8611917,5.111495,-6.846364,-4.1355395,0.43778723,99.74944,0.0103905685
letter_b,pid,0.1,-0.0012333627,-0.0020560215,-0.003053882,0.00043420272,-4.904752e-05,0.0038996749,-0.012333627,-0.020560216,-0.03053882,0.0043420275,-0.0004904752,0.03899675,-0.6,-0.9912307692307691,-0.6,0.0,0.0,1.5707963267942635,5.551115123125783e-14,0.08769230769234415,5.551115123125783e-14,0.0,0.0,0.0,1.301281228409531,0.11315187485023455,-1.5668966519316403,0.9748699415063771,1.1725858,-2.895019,5.0323586,-6.754792,-4.009617,0.45651156,96.99338,0.010103476
letter_b,pid,0.2,-0.0035347098,-0.006044901,-0.008919606,0.0011747727,-0.000103353996,0.011387129,-0.023171727,-0.03982421,-0.05863882,0.007409372,-0.00051055395,0.07487477,-0.6,-0.9824615384615384,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769223313,0.0,0.0,0.0,0.0,1.2878417311758565,0.14225295170350985,-1.5594091974806528,0.955129986197425,1.1856503,-2.9040682,4.96256,-6.680978,-3.8973916,0.44783416,94.49206,0.009842924
letter_b,pid,0.30000000000000004,-0.006714117,-0.011849389,-0.017326659,0.0021221328,-0.00012891124,0.02201276,-0.03246165,-0.05777781,-0.08399935,0.0094845835,-0.00013074529,0.106256545,-0.6,-0.9736923076923076,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.2714708653605642,0.171088296101728,-1.5487835659321885,0.9315491881230568,1.1877488,-2.9091403,4.8685174,-6.5899086,-3.7745128,0.43906647,91.44293,0.009525306
letter_b,pid,0.4,-0.010559234,-0.019318532,-0.027989618,0.0031873693,-9.787785e-05,0.035245635,-0.040099636,-0.074053094,-0.106467515,0.010669423,0.0005911522,0.13232778,-0.6,-0.9649230769230769,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.2525191608853348,0.19774955748419798,-1.5355506921794753,0.9048602911575754,1.1872672,-2.9172695,4.760894,-6.490896,-3.6437707,0.43002456,88.1799,0.009185406
letter_b,pid,0.5,-0.014836175,-0.028259631,-0.040620614,0.00428678,1.45613985e-05,0.05054722,-0.04590591,-0.088250466,-0.12602483,0.011009085,0.001612104,0.1530115,-0.6,-0.9561538461538461,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.2313852660214992,0.2212362294694814,-1.5202491069820265,0.8755628047506838,1.187064,-2.9303682,4.645012,-6.388316,-3.507941,0.42013523,84.86507,0.008840111
letter_b,pid,0.6000000000000001,-0.019334609,-0.03845816,-0.05493996,0.005346836,0.00022236249,0.067423746,-0.05007767,-0.1001951,-0.14276597,0.0105981,0.002801449,0.16875476,-0.6,-0.9473846153846153,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.208474262913177,0.24122929703696566,-1.503372580805097,0.8443510836331612,1.1877109,-2.9475954,4.523599,-6.283484,-3.3692465,0.40895984,81.56317,0.008496164
letter_b,pid,0.7000000000000001,-0.02387288,-0.0496889,-0.07068406,0.006305661,0.0005310407,0.085454084,-0.05281104,-0.10983498,-0.15686771,0.009548158,0.0040507866,0.18028437,-0.6,-0.9386153846153846,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.184182466466439,0.257708194279549,-1.4853422428157668,0.8117458441273075,1.1893972,-2.9680357,4.398725,-6.177364,-3.2294598,0.39613092,78.31884,0.008158213
letter_b,pid,0.8,-0.028297512,-0.06172377,-0.087610655,0.0071136225,0.0009403116,0.10429812,-0.054266732,-0.117198296,-0.16855916,0.007979545,0.0052808602,0.18841079,-0.6,-0.9298461538461538,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.1588887141850246,0.2708084735803631,-1.4664982045677046,0.7781919054372142,1.192012,-2.9908297,4.2718844,-6.070702,-3.0899491,0.38136193,75.1616,0.007829334
letter_b,pid,0.9,-0.032481715,-0.07433764,-0.10550168,0.0077334535,0.0014460001,0.123691924,-0.05457861,-0.122367114,-0.17809567,0.00601595,0.006436346,0.19389707,-0.6,-0.9210769230769231,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.1329488099612273,0.28075229717916395,-1.4471044028785567,0.7440627209652712,1.195268,-3.0152297,4.144137,-5.964099,-2.9517276,0.3644577,72.110146,0.007511474
letter_b,pid,1.0,-0.036322735,-0.08731321,-0.12416419,0.008140147,0.0020415464,0.1434365,-0.053855654,-0.12546557,-0.18573843,0.0037814234,0.0074822055,0.19739363,-0.6,-0.9123076923076923,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.1066922210225272,0.2878115307659459,-1.427359820404325,0.7096655500731203,1.1987981,-3.0406318,4.0162234,-5.858057,-2.8154988,0.34532765,69.17572,0.007205805
