trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
square,pid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-0.6,0.0,0.0,0.0,0.040000000000040004,0.0,0.0,0.0,0.0,0.0,1.2806248474865698,0.040000000000040004,0.0,0.9920333122412281,-2.7744715,0.53990054,0.45955214,-2.694123,-3.7869885,0.78621024,30.41808,0.0031685503
square,pid,0.1,-0.0015743236,-0.0016832364,-0.003053839,0.0005556138,-4.7835885e-05,-2.6220012e-05,-0.015743237,-0.016832365,-0.030538391,0.0055561378,-0.00047835882,-0.00026220013,-0.792,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2721741719840967,0.10189548211675487,-2.6220011932309717e-05,0.9807105099540622,-2.6990588,0.5952313,0.5158383,-2.6196656,-3.7064302,0.75960195,29.082577,0.003029435
square,pid,0.2,-0.004442165,-0.0049832663,-0.00891955,0.0015096047,-8.5542095e-05,-6.9981885e-05,-0.028680354,-0.033033635,-0.058637396,0.009539888,-0.0003773052,-0.00043740912,-0.784,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2606102184744472,0.12783186084256207,-6.998188473517077e-05,0.9664863304230092,-2.6609564,0.6074538,0.52913326,-2.5826359,-3.6172245,0.7279199,28.013859,0.0029181105
square,pid,0.30000000000000004,-0.008366013,-0.009812196,-0.017326655,0.0027191422,-6.953548e-05,-0.0001238879,-0.039242294,-0.048418898,-0.08399469,0.012095329,0.00015925217,-0.0005393013,-0.776,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.246261180948682,0.15368221002352953,-0.00012388790491968393,0.9498116836773018,-2.6209905,0.61632824,0.5391637,-2.543826,-3.5218604,0.6916599,26.893093,0.002801364
square,pid,0.4,-0.01309058,-0.016055983,-0.027989699,0.004056871,3.5824018e-05,-0.0001816324,-0.047245346,-0.06273343,-0.106456965,0.013377246,0.0010520209,-0.00058030756,-0.768,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2294926759313571,0.17736951921552838,-0.00018163239292334765,0.9310204717830973,-2.5801096,0.6216969,0.5457373,-2.50415,-3.4225872,0.65118074,25.750208,0.0026823133
square,pid,0.5,-0.018342512,-0.023569606,-0.040620755,0.0054102824,0.00025990242,-0.00023781623,-0.052501142,-0.07565758,-0.12600657,0.013534134,0.0022384862,-0.0005709243,-0.76,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2107043923027128,0.19788450682835332,-0.00023781623167451474,0.9105872019796103,-2.5394013,0.62348163,0.5487378,-2.4646575,-3.321451,0.6066353,24.612982,0.0025638524
square,pid,0.6000000000000001,-0.023878692,-0.03219405,-0.05494017,0.0066873515,0.0006163941,-0.0002881561,-0.055304073,-0.08703111,-0.14273974,0.012770824,0.003562141,-0.0005226783,-0.752,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.1902843508366774,0.2150726403999967,-0.0002881560940295458,0.8888757224136565,-2.4993594,0.62204206,0.5484977,-2.4258149,-3.2199225,0.55833155,23.498795,0.0024477912
square,pid,0.7000000000000001,-0.029491527,-0.041764516,-0.07068452,0.007816952,0.0011059057,-0.00032951418,-0.056003716,-0.09677182,-0.15683445,0.011296258,0.0048922417,-0.00044630675,-0.744,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,1.168596714625099,0.22903895278329253,-0.0003295141803054679,0.8662089736937917,-2.4603317,0.6178045,0.5454223,-2.3879495,-3.1190784,0.50659305,22.419989,0.0023354155
square,pid,0.8,-0.035007056,-0.052115534,-0.08761189,0.008747365,0.0017196774,-0.00035983804,-0.054933958,-0.104848854,-0.1685201,0.009304468,0.0061351573,-0.00035120692,-0.736,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,1.1459772497250953,0.2399989102568605,-0.00035983804333494795,0.8428697091627596,-2.4225998,0.6111972,0.5399243,-2.351327,-3.0196948,0.45172152,21.385418,0.0022276475
square,pid,0.9,-0.04028143,-0.06308437,-0.105504654,0.009444058,0.0024428938,-0.0003780484,-0.05239646,-0.111269094,-0.17805149,0.0069672363,0.0072302967,-0.00024535795,-0.728,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,1.1227319903889768,0.24821757826127658,-0.0003780483973632176,0.8191018092820105,-2.3864028,0.6026308,0.53240347,-2.3161755,-2.9223142,0.39399084,20.401354,0.002125141
