trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
star,pid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.347880794884119e-17,1.2,-0.6,0.0,0.0,-1.877242446824037,-0.013225168176580647,-0.04179711762652971,0.0,0.0,0.0,0.0,1.3416407864998738,0.04383952685858736,1.877242446824037,0.9895667564137892,-2.3781717,2.3527074,-7.1745305,7.149066,-0.06166549,4.5120993,134.13681,0.013972584
star,pid,0.1,-6.073628e-05,0.0024522857,-0.003054029,-0.0005172176,2.0053953e-05,-0.004660399,-0.00060736283,0.024522858,-0.030540291,-0.0051721763,0.00020053954,-0.046603993,-0.0026450336353160556,1.1916405764746871,-0.6,0.0,0.0,-1.8772424468244222,-0.026450336353161595,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.330608868768783,0.1152817178288603,1.8725820476594177,0.9734597874839153,-2.4325106,2.3596826,-7.112574,7.0397463,-0.07885878,4.3876843,130.88994,0.013634369
star,pid,0.2,-0.00020470095,0.007206827,-0.008920239,-0.0014013778,4.6556906e-05,-0.0135885505,-0.0016600344,0.047568522,-0.058637545,-0.008839811,0.00031120746,-0.089281365,-0.005290067270632185,1.1832811529493745,-0.6,0.0,0.0,-1.8772424468240332,-0.026450336353160946,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.3162643977502089,0.14579639807083128,1.8636538963234615,0.9523294922651498,-2.4428675,2.3371341,-7.0531793,6.947446,-0.066694506,4.2789407,127.75792,0.013308116
star,pid,0.30000000000000004,-0.00038816014,0.014137422,-0.01732898,-0.0025433963,7.375401e-05,-0.026191933,-0.0027722463,0.06939239,-0.08399037,-0.0114143165,0.00044859172,-0.12603332,-0.007935100905948317,1.1749217294240617,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.2988389751946168,0.17612479193533684,1.851050513743484,0.926871492374886,-2.447664,2.29951,-6.9797435,6.8315897,-0.052358896,4.1616316,123.98816,0.012915433
star,pid,0.4,-0.00052323565,0.023121107,-0.027996562,-0.003858496,0.000103424485,-0.04177395,-0.0036951562,0.0900417,-0.10644742,-0.013139505,0.0006930158,-0.15581891,-0.010580134541264443,1.1665623058987489,-0.6,0.0,0.0,-1.87724244682442,-0.02645033635316138,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.2785721912785342,0.20493483999278955,1.8354684980059748,0.8977433927540525,-2.4573603,2.2596838,-6.9026394,6.704963,-0.03714218,4.0370555,120.04695,0.012504891
star,pid,0.5,-0.00047589155,0.034043547,-0.040637832,-0.0052796355,0.00014623404,-0.059643935,-0.004075305,0.10963583,-0.12599105,-0.0141929155,0.0011176033,-0.17869686,-0.013225168176580574,1.1582028823734363,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.2557001197445763,0.23175902117068595,1.8175985114118696,0.8655524038403307,-2.4728217,2.220411,-6.8225765,6.570166,-0.02213186,3.9063036,116.0194,0.012085355
star,pid,0.6000000000000001,-0.00011303468,0.046785217,-0.054976262,-0.0067469757,0.00021111274,-0.079188585,-0.0039520427,0.12816164,-0.14271022,-0.01464482,0.0016806592,-0.19544032,-0.015870201811896707,1.1498434588481234,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.2304619654956164,0.25634533634206663,1.798053861542666,0.8308308171010232,-2.4939117,2.1837807,-6.739586,6.429455,-0.0078540975,3.7706277,111.966095,0.011663134
star,pid,0.7000000000000001,0.0006898509,0.061219756,-0.0707515,-0.008205463,0.00030509918,-0.09990574,-0.0033815661,0.14558923,-0.15677442,-0.014541136,0.0023376136,-0.20716047,-0.01851523544721283,1.1414840353228106,-0.6,0.0,0.0,-1.8772424468240567,-0.026450336353163115,-0.08359423525305942,0.0,0.0,0.0,0.0,1.2030975525420333,0.2786313832189666,1.7773367100796529,0.7940300001236454,-2.520131,2.1510563,-6.653504,6.284429,0.0054544373,3.6311953,107.92688,0.011242382
star,pid,0.8,0.0020470372,0.07721543,-0.08772433,-0.009605476,0.00043387114,-0.1214079,-0.0023980548,0.1619001,-0.16840619,-0.0139345275,0.003052008,-0.21500377,-0.021160269082528962,1.1331246117974982,-0.6000000000000001,0.0,0.0,-1.8772424468236748,-0.026450336353163115,-0.08359423525317045,0.0,0.0,0.0,0.0,1.1738437446106582,0.2986747842184319,1.755834550543386,0.755527103642256,-2.5521348,2.1241455,-6.562949,6.13496,0.016560005,3.4878514,103.90081,0.010823
star,pid,0.9,0.004062025,0.094636105,-0.10567923,-0.010903915,0.0006020093,-0.1434084,-0.0010187008,0.17708133,-0.17785676,-0.012888939,0.0037945255,-0.21997881,-0.023805302717845093,1.1247651882721854,-0.6000000000000001,0.0,0.0,-1.8772424468236937,-0.02645033635316485,-0.08359423525317045,0.0,0.0,0.0,0.0,1.1429328680580915,0.31659366023131025,1.7338340440231337,0.715640307688984,-2.5930514,2.107004,-6.464274,5.9782267,0.022085235,3.3380299,99.83234,0.010399203
