trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
circle,ppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6,0.0,0.0,1.5708591586482943,-3.947841775708838e-06,0.06283185290642905,0.0,0.0,0.0,0.0,1.16619037896906,0.06283185303045416,-1.5708591586482943,0.9682062338951264,12.389098,10.62749,10.146322,11.75061,-1.5859635,-6.134758,547.6085,0.057042558
circle,ppo,0.1,0.015324129,0.0007368225,8.260067e-06,0.0016688323,0.00048816504,-6.3194464e-05,0.15324129,0.007368225,8.260067e-05,0.016688323,0.00488165,-0.0006319446,0.9999210442038161,0.01256603988335261,-0.6,0.0,0.0,1.583362697409366,-0.0015790951391481123,0.12565378393491425,0.0,0.0,0.0,0.0,1.1530745545593057,0.19483539823590096,-1.583425891873385,0.9253149573000037,11.343109,10.094567,11.57863,12.0744505,-0.6668432,-5.4085083,540.1201,0.05626251
circle,ppo,0.2,0.043708384,0.0018217319,9.2750684e-05,0.0042308844,0.00082197547,1.4154804e-05,0.2838414,0.010868657,0.00096533116,0.025620142,0.0033393903,0.0007679208,0.9996841892832999,0.025130095443337483,-0.6,0.0,0.0,1.5959290680234282,-0.003157940920817115,0.1256240198678621,0.0,0.0,0.0,0.0,1.1289571867217123,0.3090927814446822,-1.5959149132190524,0.8745468126706581,11.694168,9.227872,11.749434,11.956263,-0.22732487,-4.3893356,522.22656,0.0543986
circle,ppo,0.30000000000000004,0.08247568,0.0035244063,8.643272e-05,0.007092652,0.00047816848,0.0006242342,0.3876731,0.017022185,0.00018346113,0.028612662,-0.0034122271,0.0061152834,0.9992894726405892,0.03769018266993455,-0.6,0.0,0.0,1.6084954386382901,-0.004736288027107349,0.12557441831179475,0.0,0.0,0.0,0.0,1.0962748572523833,0.4071470944122302,-1.607871204432247,0.817372047213552,12.09719,9.000781,11.378824,11.972634,-0.0962922,-3.7972744,514.6063,0.05360481
circle,ppo,0.4,0.12928261,0.0061327526,-9.664653e-05,0.009965329,-0.0008664545,0.0018082656,0.4680863,0.025779229,-0.0017898552,0.028721118,-0.013361913,0.011935383,0.9987369566060175,0.05024431817976956,-0.6,0.0,0.0,1.6210618092522602,-0.006313887218500902,0.12550498709936603,0.0,0.0,0.0,0.0,1.057251496540099,0.48477208075034894,-1.619253543678915,0.7545661134107544,12.237433,9.4480505,10.882563,11.93583,-0.14391261,-3.7903056,514.30176,0.0535731
circle,ppo,0.5,0.18230143,0.00970918,-0.00037914398,0.012792927,-0.0033297779,0.003344552,0.5302494,0.034771036,-0.003631092,0.028289283,-0.024478916,0.015607569,0.9980267284282716,0.06279051952931337,-0.6,0.0,0.0,1.6336281798664773,-0.007890489373940657,0.125415737194573,0.0,0.0,0.0,0.0,1.0137901947390193,0.5457327232864506,-1.6302836279735262,-0.3120034091375069,11.896632,10.111445,10.470106,11.961771,-0.15077353,-3.7156088,510.30676,0.053156957
circle,ppo,0.6000000000000001,0.24004513,0.014130229,-0.0006876554,0.015512445,-0.006882508,0.0048615416,0.5775682,0.042211454,-0.0055487594,0.027245691,-0.03533033,0.015623058,0.9971589002606139,0.07532680552793274,-0.6,0.0,0.0,1.6461945504810775,-0.0094658455296881,0.12530668269102735,0.0,0.0,0.0,0.0,0.9675440910238957,0.5929119201806561,-1.6413330089230205,-0.3808702065057968,12.364213,10.341094,8.940715,11.867195,-0.6009893,-3.544554,493.50372,0.05140664
circle,ppo,0.7000000000000001,0.30108902,0.019824175,-0.0011265099,0.018179396,-0.0114012705,0.0060527907,0.6106638,0.053831365,-0.00942777,0.026751498,-0.04499741,0.012611715,0.9961336091431725,0.08785119655074318,-0.6,0.0,0.0,1.6587609210951333,-0.011039706918625214,0.12517784080966904,0.0,0.0,0.0,0.0,0.9199804974562171,0.625854949411458,-1.652708130419821,-0.4512935947786557,13.784922,9.540745,6.7898517,12.212407,-0.6427978,-3.5079398,489.01364,0.050938923
circle,ppo,0.8,0.3643054,0.027962754,-0.0016029199,0.020812519,-0.016692778,0.006841066,0.6325495,0.07732742,-0.01338449,0.02642111,-0.052763045,0.008842848,0.9949510169813002,0.10036171485121491,-0.6,0.0,0.0,1.6713272917098345,-0.012611825009944955,0.1250292318961399,0.0,0.0,0.0,0.0,0.8723729481782069,0.6470608733526876,-1.6644862258820774,-0.5229609919929081,14.874711,8.507258,4.8594885,13.003403,-0.47863686,-3.625747,499.70874,0.052052986
circle,ppo,0.9,0.42892483,0.03970063,-0.0019111295,0.02344197,-0.02252704,0.0070729237,0.64684045,0.11264207,-0.016228803,0.026333205,-0.058281742,0.0035319226,0.9936113105200084,0.1128563848734817,-0.6,0.0,0.0,1.6838936623241176,-0.01418195154784252,0.12486087941751545,0.0,0.0,0.0,0.0,0.8257922765821858,0.6613344787561259,-1.6768207386191358,-0.5958435500928836,15.287095,7.968621,3.895052,13.37711,-0.449975,-3.6738708,505.01248,0.052605465
