trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
letter_b,ppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.6,0.0,0.0,1.5707963267948966,0.0,0.043846153846172076,0.0,0.0,0.0,0.0,1.3114877048604001,0.043846153846172076,-1.5707963267948966,0.9728741608092198,-15.978931,2.0907235,5.8427477,-15.310509,0.93785495,2.7880623,536.89966,0.05592705
letter_b,ppo,0.1,-0.008039029,-0.009859484,-0.0021397767,-0.0013282074,-0.00027329905,0.0010495427,-0.0803903,-0.09859484,-0.021397768,-0.013282075,-0.0027329905,0.010495426,-0.6,-0.9912307692307691,-0.6,0.0,0.0,1.5707963267942635,5.551115123125783e-14,0.08769230769234415,5.551115123125783e-14,0.0,0.0,0.0,1.2926500831584695,0.20401804951171915,-1.5697467841110868,0.9329918499204853,-16.167841,1.793758,5.0924454,-15.993945,0.36697578,3.1735368,556.56195,0.057975203
letter_b,ppo,0.2,-0.02367461,-0.029131161,-0.006578199,-0.0037647623,-0.0005228336,0.0030874163,-0.15657009,-0.1924935,-0.04459714,-0.02435998,-0.0025224101,0.020375405,-0.6,-0.9824615384615384,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769223313,0.0,0.0,0.0,0.0,1.2621961806437423,0.324048120776334,-1.5677089105036597,0.8821772601682538,-16.567533,1.4611036,4.35797,-16.288202,-0.03284821,3.4953196,573.1338,0.059701428
letter_b,ppo,0.30000000000000004,-0.04621866,-0.056967955,-0.013328399,-0.007220313,-0.00048375683,0.0059195734,-0.22633415,-0.27741492,-0.06842856,-0.0345407,0.0002841412,0.028322835,-0.6,-0.9736923076923076,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.2211637398053545,0.43498609601616206,-1.5648767534319799,0.8226020715209605,-16.867601,1.2487446,3.978993,-16.354155,-0.11799216,3.5056188,581.6694,0.06059056
letter_b,ppo,0.4,-0.074574046,-0.09227652,-0.02213778,-0.011683889,7.498917e-05,0.009387297,-0.28568158,-0.35075676,-0.090490535,-0.04461898,0.005336936,0.03471667,-0.6,-0.9649230769230769,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.1711145078199054,0.5310744659056995,-1.5614090301704149,0.7555578126581233,-17.067305,1.1399738,3.930617,-16.225655,0.10494655,3.015196,580.41644,0.06046005
letter_b,ppo,0.5,-0.10737383,-0.1338095,-0.03246057,-0.017130803,0.001329633,0.013368595,-0.33187446,-0.41099802,-0.108062096,-0.054472134,0.012080423,0.039956853,-0.6,-0.9561538461538461,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.114016048495088,0.6086954191596277,-1.5574277314033846,-0.31608761577773614,-16.915573,1.2796994,4.5572925,-15.84065,0.56142503,1.7559929,562.86804,0.058632087
letter_b,ppo,0.6000000000000001,-0.1428938,-0.18037082,-0.04344193,-0.023406368,0.0033783342,0.017866576,-0.36124602,-0.45886627,-0.118171714,-0.06281545,0.019713504,0.04532411,-0.6,-0.9473846153846153,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.0521469086505606,0.6657248063743709,-1.5529297507044415,-0.3905571078802214,-16.559301,1.550447,5.052077,-15.3925085,0.77497005,0.85552984,540.39966,0.056291636
letter_b,ppo,0.7000000000000001,-0.17965798,-0.23076786,-0.054520957,-0.030354133,0.00620954,0.022844743,-0.37621042,-0.4945629,-0.123670645,-0.069645844,0.027139211,0.05043038,-0.6,-0.9386153846153846,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.9875641325738005,0.7041660525634849,-1.547951583811317,-0.46580234175168383,-16.050997,2.0921204,4.866905,-14.377463,0.47393006,0.1688059,492.66278,0.051319037
letter_b,ppo,0.8,-0.21643054,-0.28368664,-0.065466344,-0.037684314,0.009721684,0.02792,-0.37903082,-0.5170166,-0.12755957,-0.07361694,0.033564974,0.051794115,-0.6,-0.9298461538461538,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,0.9221571861742595,0.7249887311958134,-1.5428763265397887,-0.5401672267347399,-15.583267,2.4668503,4.4111075,-13.159818,0.30663925,-0.79048026,442.28113,0.04607095
letter_b,ppo,0.9,-0.2523849,-0.33790067,-0.07596623,-0.045062944,0.0137437275,0.03265972,-0.37349954,-0.5274215,-0.12859707,-0.07424709,0.038406253,0.04887666,-0.6,-0.9210769230769231,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.8576375642202771,0.7310294649004695,-1.538136606165443,-0.6123604943988904,-14.898864,3.0767035,4.77317,-11.967002,0.37034047,-1.8003504,400.81296,0.041751355
