trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
square,ppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-0.6,0.0,0.0,0.0,0.040000000000040004,0.0,0.0,0.0,0.0,0.0,1.2806248474865698,0.040000000000040004,0.0,0.9710180854889644,-17.607265,0.64755476,3.7769575,-15.731327,1.1861115,3.0807297,583.073,0.06073677
square,ppo,0.1,-0.009941129,-0.009485534,-0.0021546849,-0.0013950865,-0.00033534542,0.0005997276,-0.09941129,-0.094855346,-0.021546848,-0.013950865,-0.0033534544,0.0059972764,-0.792,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2625166212212238,0.204083838117032,0.0005997276166453958,0.9291688818109086,-17.756762,0.4565777,3.005228,-16.156275,0.1978184,3.423464,597.32684,0.062221553
square,ppo,0.2,-0.028963767,-0.027982995,-0.006747506,-0.0038380262,-0.0006236431,0.0016753076,-0.19035268,-0.18479632,-0.04612223,-0.02442579,-0.002897979,0.010751766,-0.784,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2320870467719567,0.3307075900498281,0.0016753076342865825,0.8768629790310518,-17.731672,0.42981425,2.813776,-16.367622,-0.06171161,3.5471804,602.99963,0.06281247
square,ppo,0.30000000000000004,-0.055603486,-0.05477381,-0.013663985,-0.007240557,-0.00052358763,0.0032161444,-0.26688874,-0.26719472,-0.07002437,-0.034015696,0.00094141,0.015412092,-0.776,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.190849752530586,0.4434278140524852,0.00321614439599216,0.8161410402283349,-17.767492,0.36859336,2.7648535,-16.42712,-0.009191573,3.4561453,605.25934,0.063047856
square,ppo,0.4,-0.08828756,-0.08886443,-0.022563837,-0.0116092255,0.00022365658,0.0052038915,-0.327982,-0.3392012,-0.09128519,-0.043676283,0.0073283236,0.019931052,-0.768,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.1406819529536134,0.5383676880924562,0.005203891545534134,0.7481556301407281,-17.832615,0.23861733,2.6823547,-16.355959,0.26223946,2.9440541,601.5078,0.06265706
square,ppo,0.5,-0.12551606,-0.12901883,-0.032879043,-0.016925918,0.0017829323,0.0075822873,-0.37434644,-0.39837584,-0.10786777,-0.053172246,0.015315599,0.02396337,-0.76,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.0837028126600148,0.6138154836255173,0.0075822873041033745,-0.32443528016405765,-17.760302,0.26324663,2.726347,-16.078882,0.54571027,2.0931168,586.14,0.061056245
square,ppo,0.6000000000000001,-0.16579042,-0.17396404,-0.043956846,-0.02307316,0.0042185793,0.010264029,-0.40594178,-0.44443434,-0.11904113,-0.061520226,0.023899091,0.027225768,-0.752,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.0221285053749378,0.6692025816127182,0.010264028795063496,-0.3993634816691713,-17.57509,0.73674107,2.3354273,-15.226043,0.26544636,1.4448664,548.8713,0.05717409
square,ppo,0.7000000000000001,-0.20767796,-0.2223575,-0.055473622,-0.029795477,0.0074949036,0.012825389,-0.42333066,-0.47678387,-0.12798865,-0.067331225,0.032163594,0.026362447,-0.744,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,0.9580298368454765,0.7050146899985766,0.01282538939198008,-0.4744298482693903,-16.866602,1.3214725,2.5264654,-14.219506,0.12130928,0.38878924,494.97177,0.051559564
square,ppo,0.8,-0.24962488,-0.27303728,-0.0669768,-0.036786076,0.011501261,0.015076184,-0.42506033,-0.49763215,-0.13310494,-0.07007467,0.039375275,0.023690857,-0.736,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,0.8935122795382462,0.7214157020696045,0.015076183713278679,-0.548042468038798,-16.007734,1.8295859,2.9775915,-13.107118,0.258097,-0.8726066,441.0856,0.045946416
square,ppo,0.9,-0.29034778,-0.325014,-0.07793389,-0.043775186,0.01604966,0.016935138,-0.413731,-0.5090162,-0.13314737,-0.07010491,0.04476959,0.020248545,-0.728,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,0.8304843085682769,0.7215234161941544,0.016935138031146435,-0.6195847244979816,-15.452692,2.2081277,3.4366674,-12.168055,0.4629078,-1.7888725,406.94812,0.042390425
