trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
star,ppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.347880794884119e-17,1.2,-0.6,0.0,0.0,-1.877242446824037,-0.013225168176580647,-0.04179711762652971,0.0,0.0,0.0,0.0,1.3416407864998738,0.04383952685858736,1.877242446824037,0.976671052362118,8.863092,-3.0635586,-10.565565,15.8784685,2.616842,-4.878258,482.34198,0.05024396
star,ppo,0.1,0.003756136,0.009632343,0.0009972851,0.0011928218,0.000104134575,-0.0038138242,0.03756136,0.09632343,0.009972852,0.011928218,0.0010413458,-0.03813824,-0.0026450336353160556,1.1916405764746871,-0.6,0.0,0.0,-1.8772424468244222,-0.026450336353161595,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.3260400351024406,0.19122583926033743,1.873428622673711,0.941645709732686,9.34531,-3.1904252,-10.08041,16.07848,2.517083,-4.5421343,484.6125,0.050480466
star,ppo,0.2,0.011155371,0.028516138,0.0028018996,0.0033674194,0.00019218547,-0.010928604,0.07326973,0.18914017,0.017828176,0.021753384,0.0007956417,-0.0711488,-0.005290067270632185,1.1832811529493745,-0.6,0.0,0.0,-1.8772424468240332,-0.026450336353160946,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.302736666545371,0.29093984291562175,1.8663138430035304,0.8962260678716267,10.209276,-3.3463714,-9.312414,16.21221,2.1163387,-4.046822,485.83997,0.050608333
star,ppo,0.30000000000000004,0.022333475,0.055954717,0.0051019783,0.006435184,0.00019588173,-0.020556755,0.10877135,0.27566695,0.022093534,0.030696146,-0.00028725722,-0.09628109,-0.007935100905948317,1.1749217294240617,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.2724589445266101,0.3845017926404638,1.8566856914600969,0.8424017669695048,10.407875,-4.2167993,-9.252049,15.747918,1.2138271,-3.2757518,471.90656,0.04915693
star,ppo,0.4,0.036536813,0.091097474,0.0073650093,0.01041211,4.7023255e-05,-0.03193884,0.13477522,0.3544113,0.020376444,0.03979156,-0.002221007,-0.11380892,-0.010580134541264443,1.1665623058987489,-0.6,0.0,0.0,-1.87724244682442,-0.02645033635316138,-0.0835942352529484,-5.551115123125783e-14,0.0,0.0,0.0,1.2360165313072164,0.46718062067487626,1.8453036071206217,0.7816970869451273,10.032479,-4.6914062,-9.4251995,15.202264,0.8220826,-2.5309503,449.68466,0.046842147
star,ppo,0.5,0.053021066,0.13283452,0.00929011,0.01521076,-0.00026093744,-0.044649333,0.1514295,0.4225992,0.014858868,0.047992468,-0.0044028466,-0.12706597,-0.013225168176580574,1.1582028823734363,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.1945724224955485,0.5367437134240056,1.8325931140622735,0.7156588044281373,9.532786,-5.027984,-9.621796,14.653893,0.78877246,-1.879051,427.62314,0.044544086
star,ppo,0.6000000000000001,0.071173176,0.18002544,0.010752708,0.020680256,-0.0006929143,-0.058378685,0.16028062,0.47970742,0.007288559,0.05465914,-0.0064075273,-0.13721195,-0.015870201811896707,1.1498434588481234,-0.6,0.0,0.0,-1.877242446824038,-0.02645033635316138,-0.08359423525305942,-5.551115123125783e-14,0.0,0.0,0.0,1.1494095887271285,0.5934899544093215,1.8188637615582586,-0.3543065642654192,8.871817,-5.3861628,-9.907747,14.043494,0.88913333,-1.2219009,405.38666,0.042227775
star,ppo,0.7000000000000001,0.09037266,0.2316112,0.011674007,0.026632028,-0.0011939517,-0.072902024,0.16157612,0.5262565,-0.001781679,0.059417088,-0.008012552,-0.14509869,-0.01851523544721283,1.1414840353228106,-0.6,0.0,0.0,-1.8772424468240567,-0.026450336353163115,-0.08359423525305942,0.0,0.0,0.0,0.0,1.1017577902755753,0.6381810438811637,1.8043404230317899,-0.42661262273823,7.8498335,-5.9875894,-10.350558,12.933833,1.1056135,-0.25353265,373.17587,0.038872484
star,ppo,0.8,0.10966618,0.28660798,0.0118993595,0.032771073,-0.00171035,-0.08797087,0.15236707,0.5624155,-0.012909474,0.061210535,-0.009174813,-0.15049736,-0.021160269082528962,1.1331246117974982,-0.6000000000000001,0.0,0.0,-1.8772424468236748,-0.026450336353163115,-0.08359423525317045,0.0,0.0,0.0,0.0,1.0526760154873376,0.6704258888481726,1.789271579070646,-0.4999285127705651,6.5897455,-6.9035344,-11.001961,11.358764,1.407417,0.7677255,343.71844,0.035804003
star,ppo,0.9,0.12782928,0.34422904,0.011279512,0.038786452,-0.0021866015,-0.10330447,0.13029346,0.5894129,-0.025747385,0.05989155,-0.009784037,-0.15309745,-0.023805302717845093,1.1247651882721854,-0.6000000000000001,0.0,0.0,-1.8772424468236937,-0.02645033635316485,-0.08359423525317045,0.0,0.0,0.0,0.0,1.0029418550303135,0.6914985078830274,1.773937978728391,-0.5739055625258381,5.6538854,-7.7666206,-11.689217,10.095568,1.6721649,1.2656851,335.2432,0.034921166
star,ppo,1.0,0.14404804,0.4040209,0.009834606,0.044527274,-0.0025423071,-0.11871319,0.099633165,0.6104273,-0.038366184,0.05707126,-0.009529366,-0.15383303,-0.02645033635316122,1.1164057647468728,-0.6000000000000001,0.0,0.0,-1.8772424468240003,-0.02645033635315791,-0.08359423525305942,0.0,0.0,0.0,0.0,0.9531317481308014,0.7064240457731652,1.7585292541822652,-0.6484122933709564,5.0602503,-8.418158,-12.162424,9.181145,1.8565903,1.6025381,334.70453,0.034865055
star,ppo,1.1,0.15797533,0.46569565,0.00761198,0.049903218,-0.0026948669,-0.13405362,0.06519178,0.6272814,-0.05036389,0.053369444,-0.008352476,-0.15318377,-0.02909536998847735,1.10804634122156,-0.6000000000000001,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.9037710865751978,0.7185255787164203,1.7431888291077826,-0.7233382221185671,4.693758,-8.906634,-12.424839,8.470658,1.992909,1.926552,335.17145,0.034913693
star,ppo,1.2000000000000002,0.16953439,0.52904534,0.0046466435,0.054838445,-0.0025840611,-0.14919625,0.029805114,0.64097816,-0.06178431,0.048944216,-0.006446823,-0.15129258,-0.03174040362379349,1.0996869176962472,-0.6000000000000001,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.8554185586407271,0.7293744778125091,1.7280461945967887,-0.7985819438779845,4.4409804,-9.31634,-12.554482,7.834742,2.106412,2.2680824,335.0959,0.03490582
star,ppo,1.3,0.17882422,0.59390163,0.00096070155,0.059262127,-0.0021619364,-0.16401528,-0.0046335757,0.6521623,-0.072702505,0.043853864,-0.0039075217,-0.1481984,-0.03438543725910961,1.0913274941709346,-0.6,0.0,0.0,-1.877242446823656,-0.02645033635316138,-0.08359423525317045,0.0,0.0,0.0,0.0,0.8087302438140227,0.7396616281864603,1.7132271686034792,-0.874007728207938,4.1970615,-9.731601,-12.619183,7.145476,2.1972537,2.6697202,334.57632,0.0348517
star,ppo,1.4000000000000001,0.18599209,0.66011494,-0.0034512584,0.06310173,-0.0013938019,-0.17837657,-0.037492115,0.66117495,-0.08334466,0.038085558,-0.0008379423,-0.14381534,-0.03703047089442574,1.0829680706456217,-0.6,0.0,0.0,-1.877242446823656,-0.02645033635316138,-0.08359423525317045,0.0,0.0,0.0,0.0,0.7644699021776955,0.7494994310145502,1.6988658764796847,-0.9493850916255163,3.8268967,-10.279993,-12.683364,6.1800475,2.2479758,3.226556,334.84818,0.034880016
star,ppo,1.5,0.1910237,0.7275427,-0.008661031,0.06626609,-0.00026761484,-0.19210061,-0.07019339,0.66788936,-0.09430464,0.0314523,0.002585098,-0.1376774,-0.03967550452974186,1.074608647120309,-0.6,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.7234353292847575,0.7586398415407859,1.6851418325143073,-1.0254914862424687,3.07252,-11.167073,-12.86855,4.4651284,2.205363,4.108232,341.42206,0.035564795
star,ppo,1.6,0.19339013,0.7960337,-0.014881949,0.06861584,0.0011981975,-0.20489495,-0.10755145,0.67122597,-0.10686191,0.023463245,0.006153853,-0.12863311,-0.04232053816505799,1.0662492235949963,-0.6,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.6862500222189414,0.7666488069763169,1.6723475017981742,-1.1013133835576103,1.8978637,-12.321332,-13.297792,1.8973113,1.9869521,5.1744814,366.5714,0.038184524
star,ppo,1.7000000000000002,0.19207475,0.8654407,-0.022434039,0.07001733,0.002980177,-0.21640554,-0.15400678,0.67009264,-0.12193532,0.014152868,0.009885979,-0.1160567,-0.044965571800374124,1.0578898000696835,-0.6,0.0,0.0,-1.8772424468236182,-0.02645033635315791,-0.08359423525317045,0.0,0.0,0.0,0.0,0.6533048273760564,0.774068975274835,1.660836906118891,-1.1756119948438917,0.4031974,-12.843731,-12.907419,-0.68961513,1.3773732,5.549016,364.88974,0.03800935
