trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
figure_eight_depth,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.7853981606558915,0.052359877464131496,0.05235987717703634,0.006544984691991829,0.0,0.0,0.0,0.6,0.0743367360776057,-0.7853981606558915,0.9823387123888228,8.0,-7.6406965,7.633083,-5.696935,-8.0,8.0,341.09927,0.035531174
figure_eight_depth,smc,0.1,0.0007420894,0.0006015725,-0.006889623,-0.00041535238,4.444896e-05,0.007040626,0.007420894,0.006015725,-0.068896234,-0.0041535236,0.0004444896,0.07040626,0.010471784116245794,0.01047120994167848,-0.5986910090421451,0.0,0.0,0.7853159064358647,0.10471401307765756,0.1046967875814337,0.01308978994990495,0.0,0.0,0.0,0.5919636450632604,0.16101431993351265,-0.7782752805321093,0.9511065005356786,12.332968,-7.96981,7.9501624,-3.5870051,-8.918103,11.082834,494.05344,0.0514639
figure_eight_depth,smc,0.2,0.00431268,0.0034577132,-0.021480726,-0.0015192989,0.00018951671,0.0211356,0.035912596,0.02836991,-0.14589766,-0.011045731,0.0013921335,0.14095034,0.02094241988335696,0.020937826864599815,-0.5973820539709386,0.0,0.0,0.7850690535490393,0.10469678815549534,0.10462789733749721,0.013089251652664835,0.0,0.0,0.0,0.5764064903247421,0.18927066047377022,-0.7639334532652973,0.9104648265091043,12.233567,-8.349758,8.148415,-4.264606,-10.606722,9.393974,504.7115,0.052574113
figure_eight_depth,smc,0.30000000000000004,0.010017548,0.008336428,-0.042903576,-0.0023567348,0.00033504886,0.041300118,0.058107603,0.047895987,-0.21414496,-0.0084125735,0.0011489608,0.20164715,0.03141075907812829,0.03139525976465669,-0.5960731706720448,0.0,0.0,0.7846573311162532,0.1046680820506879,0.10451311383980269,0.013088354506918254,0.0,0.0,0.0,0.5540631549281625,0.23876422788735838,-0.7433572131467403,0.8623262600643306,12.14229,-8.661059,8.413847,-4.932616,-10.317192,9.683419,517.78577,0.053936016
figure_eight_depth,smc,0.4,0.017323403,0.015070604,-0.07014076,-0.0030126057,0.00042520455,0.06631695,0.07586793,0.06490954,-0.27219424,-0.006642527,0.0003119746,0.25016972,0.04187565372919963,0.04183892166615775,-0.5947643950291608,0.0,0.0,0.7840802870087799,0.10462789791118587,0.10435248743619757,0.01308709853742318,0.0,0.0,0.0,0.5258795658532378,0.2894275765376691,-0.7177633396678146,0.8084450489754405,12.040604,-8.927531,8.722769,-5.609697,-10.208563,9.792037,532.33105,0.055451155
figure_eight_depth,smc,0.5,0.02581909,0.023484208,-0.102144435,-0.003493019,0.0004374704,0.09496544,0.09048174,0.07928482,-0.31976092,-0.0049259467,-0.00074040703,0.28648397,0.05233595624294383,0.05226423163382673,-0.5934557629230317,0.0,0.0,0.7833372868513121,0.10457624014362232,0.10414608858271349,0.013085483778374485,0.0,0.0,0.0,0.4928673806520801,0.3340710482173263,-0.6883718438362135,0.7503080922174871,11.925889,-9.177064,9.047905,-6.2990794,-10.1127,9.887908,548.02576,0.05708602
figure_eight_depth,smc,0.6000000000000001,0.035144974,0.03338895,-0.13793045,-0.0038201958,0.00036279848,0.12622903,0.102387145,0.09100737,-0.35749972,-0.0034085384,-0.0018387551,0.31263134,0.06279051952931337,0.06266661678215212,-0.592147310230468,0.0,0.0,0.7824275126232177,0.10451311441286859,0.10389400781271596,0.013083510274236598,0.0,0.0,0.0,0.4559982582658655,0.3708133153411336,-0.6561984797491104,0.6890773063407565,11.809912,-9.417138,9.382238,-6.9894648,-10.05155,9.949071,565.0532,0.058859706
figure_eight_depth,smc,0.7000000000000001,0.044989605,0.044586066,-0.17663728,-0.004021363,0.00020218012,0.1593628,0.111899965,0.100164264,-0.38664776,-0.0021318793,-0.0028719434,0.3313291,0.07323819712763169,0.07304151428120581,-0.5908390728233609,0.0,0.0,0.7813499608548116,0.10443852764135259,0.10359635569717057,0.013081178079077382,0.0,0.0,0.0,0.4161379857338919,0.39981330258306036,-0.6219871678860616,-0.3743235291778142,11.558436,-9.649943,9.72038,-7.8118863,-10.094202,9.906389,582.2597,0.060652047
figure_eight_depth,smc,0.8,0.05500658,0.056783978,-0.21755005,-0.004098809,-3.8973754e-05,0.1938664,0.11833992,0.106181934,-0.40868023,-0.00084421877,-0.0037990308,0.3450236,0.0836778433323155,0.08338437335805114,-0.5895310865677,0.0,0.0,0.780103440413824,0.10435248800837182,0.10325326279610886,0.013078487256790172,0.0,0.0,0.0,0.37403143037585007,0.4220007597539919,-0.5862370385030421,-0.4395426361251101,11.430759,-9.869447,10.074502,-8.513189,-10.086803,9.913779,602.0649,0.06271509
figure_eight_depth,smc,0.9,0.06498774,0.06975707,-0.2601003,-0.0040899618,-0.000343907,0.22942583,0.122918434,0.10981464,-0.42506072,0.000102327824,-0.0045068157,0.35557878,0.09410831331851431,0.0936906572928623,-0.5882233873225893,0.0,0.0,0.7786865698791186,0.10425500494912893,0.10286487960144142,0.013075437881204799,0.0,0.0,0.0,0.3302810645020151,0.43858854853634743,-0.5492607372499148,-0.5059593959852839,11.387728,-10.086545,10.4330225,-9.13184,-10.098669,9.901903,623.688,0.06496749
