trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
letter_b,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.6,0.0,0.0,1.5707963267948966,0.0,0.043846153846172076,0.0,0.0,0.0,0.0,1.3114877048604001,0.043846153846172076,-1.5707963267948966,0.9825596165092302,0.1165768,-7.499827,7.541198,-8.0,-8.0,6.5544214,284.0911,0.029592825
letter_b,smc,0.1,-0.002727491,-0.0020074178,-0.006404367,-0.00015108188,-7.246555e-05,0.005678648,-0.02727491,-0.02007418,-0.06404367,-0.0015108188,-0.00072465546,0.05678648,-0.6,-0.9912307692307691,-0.6,0.0,0.0,1.5707963267942635,5.551115123125783e-14,0.08769230769234415,5.551115123125783e-14,0.0,0.0,0.0,1.299097018923077,0.12829313409520945,-1.565117678665158,0.9486902985778559,0.051418625,-7.7882433,7.829593,-15.566418,-13.953505,6.0444784,595.5113,0.06203243
letter_b,smc,0.2,-0.010429317,-0.0080119455,-0.02055261,0.00073485944,-0.00019977635,0.018501433,-0.077368245,-0.05958557,-0.14148581,0.0088687055,-0.0012924809,0.12822765,-0.6,-0.9824615384615384,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769223313,0.0,0.0,0.0,0.0,1.2778516651308882,0.21839151405042598,-1.5522948941823582,0.9033702621971603,-0.013543824,-8.076464,8.118184,-16.208193,-11.859585,8.13838,600.72284,0.0625753
letter_b,smc,0.30000000000000004,-0.022561692,-0.018043911,-0.041587524,0.0015374894,-0.00022889781,0.037671294,-0.12320095,-0.09821249,-0.21025245,0.008064596,-0.00015034317,0.19169877,-0.6,-0.9736923076923076,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.2484083270519308,0.30650474736436467,-1.5331250327315669,0.8486006058310986,-0.07649896,-8.362678,8.408782,-16.84796,-12.110697,7.887055,633.37616,0.065976694
letter_b,smc,0.4,-0.038493987,-0.032167062,-0.06849392,0.0023706083,-3.3578493e-05,0.06197331,-0.1645906,-0.13554429,-0.26881817,0.008386817,0.0023268317,0.24301688,-0.6,-0.9649230769230769,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.211536834419925,0.3862484297695944,-1.5088230157878737,0.7858089967459666,-0.13797705,-8.647414,8.700858,-17.486248,-12.15233,7.8450637,665.49475,0.06932237
letter_b,smc,0.5,-0.057524446,-0.050346516,-0.10021716,0.0032161726,0.00048830506,0.09014952,-0.20120913,-0.17041084,-0.31682265,0.008465104,0.005886768,0.28174892,-0.6,-0.9561538461538461,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.1681393448906927,0.45549856113481857,-1.4806468049671988,0.7167111261690379,-0.19836216,-8.931058,8.994026,-18.123446,-12.254625,7.7423043,699.2741,0.07284105
letter_b,smc,0.6000000000000001,-0.07895724,-0.07246707,-0.13575962,0.004060313,0.0014059609,0.1211216,-0.23319861,-0.2021543,-0.35489014,0.008290169,0.010172624,0.30968967,-0.6,-0.9473846153846153,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.11914494453063,0.5141397235883362,-1.4496747265246253,-0.3573498525269384,-0.25813395,-9.2140875,9.287807,-18.760029,-12.415092,7.5813127,734.77893,0.076539464
letter_b,smc,0.7000000000000001,-0.102133445,-0.098344706,-0.17424212,0.004891099,0.0027576077,0.15408461,-0.26078963,-0.23043983,-0.38425955,0.007844411,0.014854754,0.32957208,-0.6,-0.9386153846153846,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,1.0654556248381253,0.5629162377494841,-1.416711718836103,-0.4353369958928356,-0.31771666,-9.496928,9.581779,-19.396423,-12.631382,7.3644805,772.11176,0.0804283
letter_b,smc,0.8,-0.12645052,-0.12774317,-0.21493068,0.0057030297,0.004553979,0.18849301,-0.2842861,-0.25517178,-0.40642786,0.0071704597,0.019646429,0.34399074,-0.6,-0.9298461538461538,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769228864,0.0,0.0,0.0,0.0,1.0079170016970593,0.6029576922152993,-1.3823033134129386,-0.5164402094929414,-0.37499422,-9.777465,9.878054,-20.030514,-12.8903,7.104795,811.1748,0.08449737
letter_b,smc,0.9,-0.15137085,-0.16039151,-0.257237,0.0064983307,0.0067826766,0.22400045,-0.30403563,-0.27642146,-0.42288247,0.0063360124,0.024311583,0.35493794,-0.6,-0.9210769230769231,-0.6,0.0,0.0,1.5707963267948966,0.0,0.08769230769234415,0.0,0.0,0.0,0.0,0.9473103465017391,0.6354888527513848,-1.346795872845922,-0.6000302097322727,-0.43130356,-10.057033,10.175298,-20.663633,-13.175713,6.8185205,851.94403,0.08874416
