trajectory,controller,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,roll_ref,pitch_ref,yaw_ref,u_ref,v_ref,w_ref,p_ref,q_ref,r_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,control_effort,control_effort_normalized
square,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-0.8,-0.6,0.0,0.0,0.0,0.040000000000040004,0.0,0.0,0.0,0.0,0.0,1.2806248474865698,0.040000000000040004,0.0,0.9818391025103175,-7.4961667,0.11291691,-0.0715457,-7.311704,-8.0,6.5544214,216.63184,0.022565817
square,smc,0.1,-0.005095812,-0.0037785806,-0.006404367,0.00012468363,-0.00013375397,-5.4291077e-06,-0.05095812,-0.037785806,-0.06404367,0.0012468364,-0.0013375398,-5.4291075e-05,-0.792,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2671000455931012,0.1505967726004987,-5.429107659438159e-06,0.9524998764877649,-7.850892,0.11248571,-0.0727173,-7.665689,-13.322153,6.675908,342.46475,0.035673413
square,smc,0.2,-0.014867891,-0.011459631,-0.02055268,0.0013912232,-0.00021257864,-6.1150204e-05,-0.09773929,-0.07682867,-0.14146046,0.012665321,-0.0007883161,-0.0005571126,-0.784,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.244636216781166,0.23980192205169037,-6.115020369179548e-05,0.9153912453424108,-8.171506,0.08260082,-0.039778206,-8.049128,-10.972992,9.0249195,333.4261,0.034731884
square,smc,0.30000000000000004,-0.028835474,-0.022935433,-0.04158717,0.002458911,-9.735905e-05,-6.92289e-05,-0.13971353,-0.11505904,-0.21015534,0.010676861,0.0011520825,-8.2389925e-05,-0.776,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.2140465636899964,0.32508134722781035,-6.922890315763652e-05,0.8713931658450483,-8.556778,0.120672636,-0.071496435,-8.364609,-11.439061,8.55854,347.30554,0.03617766
square,smc,0.4,-0.046469245,-0.03811375,-0.06849077,0.003444795,0.000321102,-6.83129e-05,-0.17635341,-0.15245643,-0.2686448,0.009858842,0.0041846205,-1.129511e-06,-0.768,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.1762564964019038,0.4014101000059262,-6.83128964737989e-05,0.8216412324153386,-8.915589,0.13471109,-0.07675422,-8.7041235,-11.691367,8.305806,360.94803,0.037598755
square,smc,0.5,-0.067203745,-0.056798324,-0.10020696,0.0043168208,0.0011274974,-6.385228e-05,-0.20723034,-0.18795156,-0.3165829,0.008720243,0.00806406,1.6827225e-05,-0.76,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.1323022833779817,0.46696015532869517,-6.385228334693238e-05,0.7672839495132598,-9.26975,0.14578833,-0.07736179,-9.046599,-12.02137,7.975293,375.9151,0.039157823
square,smc,0.6000000000000001,-0.090514936,-0.07873013,-0.13573644,0.0050620497,0.0023688886,-5.8567148e-05,-0.23269717,-0.22086577,-0.3546072,0.007452231,0.012414023,-7.375915e-07,-0.752,-0.8,-0.6,0.0,0.0,0.0,0.08000000000008001,0.0,0.0,0.0,0.0,0.0,1.083205139807253,0.521830886380707,-5.856714778929018e-05,-0.29078396927394323,-9.621597,0.15525892,-0.07565614,-9.390682,-12.388267,7.6078515,392.13843,0.040847752
square,smc,0.7000000000000001,-0.11594192,-0.10360841,-0.1741987,0.005673386,0.004058089,-5.3950578e-05,-0.25334343,-0.2507445,-0.3839595,0.006113254,0.016892022,-3.934284e-05,-0.744,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,1.0299150201404577,0.566935220070736,-5.395057884283183e-05,-0.35181670451665326,-9.970371,0.16578658,-0.07087609,-9.733708,-12.777117,7.218255,409.54382,0.042660814
square,smc,0.8,-0.14309019,-0.13110958,-0.21485865,0.0061490075,0.006180567,-5.1211635e-05,-0.26981562,-0.27733496,-0.4061309,0.0047561,0.0212246,-9.302701e-05,-0.736,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,0.9732883933297136,0.6035130203421978,-5.121163554844266e-05,-0.4152035063508267,-10.317626,0.1766415,-0.06457809,-10.0764065,-13.1750345,6.8195004,428.10986,0.04459478
square,smc,0.9,-0.1716321,-0.1609035,-0.25712708,0.0064916434,0.008701864,-5.151434e-05,-0.2827859,-0.30055803,-0.4226,0.0034263802,0.025212472,-0.00015806066,-0.728,-0.8,-0.6,0.0,0.0,6.938893903905104e-13,0.0800000000000245,5.551115123125783e-14,0.0,0.0,0.0,0.0,0.9140850203060981,0.6328818961509551,-5.151434085104434e-05,-0.48044754884452257,-10.663832,0.18787903,-0.057230044,-10.418723,-13.571291,6.422338,447.73203,0.046638753
