controller,scenario_id,final_energy_J,total_step_energy_J,mean_power_W,max_power_W,rmse,late_error_mean
PID,1,59.83018926403452,59.8301892640345,1.4957547316008628,4.02206958006447,0.22819117457550983,0.17448321763844132
PID,2,61.1348976297726,61.13489762977258,1.528372440744315,5.188938683688145,0.2586458160147436,0.17485220388104936
PID,3,62.695101077638455,62.69510107763845,1.5673775269409618,5.188938683688145,0.27290440777203107,0.17529967853703357
PID,4,61.33124582637012,61.33124582637011,1.5332811456592532,5.188938683688145,0.26311907497479825,0.1747994058932233
PID,5,64.03841255922907,64.03841255922904,1.600960313980727,5.188938683688145,0.28261897346653764,0.1759490109655557
PID,6,65.60985200913052,65.60985200913055,1.640246300228264,7.2712152313951055,0.31562409597346913,0.17529493492067222
MPC,1,89.28228724874417,89.28228724874408,2.232057181218602,28.61107812642894,0.11152757222297807,0.07844333238444384
MPC,2,111.10508540811172,111.10508540811176,2.777627135202794,61.682048680032,0.13281938072399735,0.07382586483584339
MPC,3,105.96424177329231,105.96424177329229,2.6491060443323073,61.68202059369077,0.13356905951695217,0.08122175122104076
MPC,4,112.66429879837472,112.66429879837473,2.8166074699593686,53.82539142164927,0.13911883259957014,0.07842975392801114
MPC,5,107.37549119758472,107.37549119758472,2.6843872799396182,53.82547579648111,0.13770918266692492,0.07192068867032417
MPC,6,141.22781723805423,141.22781723805426,3.530695430951357,85.02235733588296,0.17725777228048684,0.07659375180392033
PPO,1,125.50152437245929,125.50152437245936,3.1375381093114836,30.4939231543855,0.16208383869850237,0.0709287181222178
PPO,2,152.43455418468906,152.43455418468906,3.8108638546172267,41.55438425797111,0.13309142278781616,0.0708833743438905
PPO,3,202.4174128692873,202.41741286928723,5.0604353217321805,54.18736347735826,0.2562075939805856,0.0708695573904589
PPO,4,185.13846404373064,185.13846404373066,4.628461601093266,74.513586672282,0.1529851841295211,0.07088152003070683
PPO,5,177.12525916850538,177.12525916850518,4.428131479212631,74.99475019203118,0.1728595952973493,0.07085141925900688
PPO,6,208.7956315847269,208.7956315847269,5.219890789618173,89.45572787974407,0.18937893573445946,0.07087218452766743
